start,end,count,severity,top1_raw,driver,anomaly_score
2025-01-21 03:45:21,2025-01-21 03:57:01,4,medium,gearbox_X-Axis_Kurtosis_scaled_volatility,gearbox Kurtosis volatility,-0.059637737633141286
2025-01-21 06:43:01,2025-01-21 06:47:40,4,medium,motor_X-Axis_Kurtosis_scaled_volatility,motor Kurtosis volatility,-0.07425245047820994
2025-01-21 08:24:31,2025-01-21 08:30:41,5,medium,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.11799890550434955
2025-01-21 10:04:00,2025-01-21 10:14:41,3,medium,gearbox_Z-Axis_Kurtosis_scaled_volatility,gearbox Kurtosis volatility,-0.05858891120434584
2025-01-21 14:02:30,2025-01-21 14:17:00,4,medium,motor_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,motor RMS mean,-0.10332533594153792
2025-01-21 14:53:21,2025-01-21 15:10:21,8,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.0756780594561749
2025-01-21 15:02:10,2025-01-21 15:02:10,1,high,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.16355304341788868
2025-01-21 16:59:00,2025-01-21 17:04:50,9,medium,motor_Z-Axis_Crest_Factor_scaled_volatility,motor Crest volatility,-0.05613192025273128
2025-01-21 21:34:40,2025-01-21 21:43:50,3,medium,roller1_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller1 Peak volatility,-0.05925351701049997
2025-01-21 22:58:20,2025-01-21 23:00:11,3,medium,roller2_Z-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.07386637386849215
2025-01-22 11:30:40,2025-01-22 11:54:10,7,medium,roller1_Z-Axis_Kurtosis_scaled_volatility,roller1 Kurtosis volatility,-0.058703619225859205
2025-01-22 13:29:20,2025-01-22 13:48:00,7,medium,roller1_Z-Axis_Kurtosis_scaled,roller1 Kurtosis scaled,-0.05474846300692937
2025-01-22 14:02:50,2025-01-22 14:12:00,3,medium,gearbox_Z-Axis_Crest_Factor_scaled_volatility,gearbox Crest volatility,-0.06957071787179014
2025-01-22 14:23:50,2025-01-22 14:32:51,10,medium,roller2_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,roller2 Peak volatility,-0.0908402206823693
2025-01-22 14:32:31,2025-01-22 14:32:31,1,high,roller2_Z-Axis_Kurtosis_scaled,roller2 Kurtosis scaled,-0.126882513221118
2025-01-22 15:12:51,2025-01-22 15:18:50,3,medium,gearbox_X-Axis_Peak_Velocity_Component_Frequency_Hz_scaled_volatility,gearbox Peak volatility,-0.0521924069529488
2025-01-22 15:42:30,2025-01-22 15:47:20,5,medium,roller2_Z-Axis_Crest_Factor_scaled_volatility,roller2 Crest volatility,-0.06840422974430971
2025-01-22 16:06:50,2025-01-22 16:18:30,8,medium,motor_X-Axis_Kurtosis_scaled,motor Kurtosis scaled,-0.10494577576112085
2025-01-22 16:53:40,2025-01-22 17:03:10,6,medium,gearbox_X-Axis_RMS_Velocity_mm/sec_scaled_roll_mean,gearbox RMS mean,-0.07666022344991485
